    MO_NAME    ,    PROPERTY    ,    VALUE    

adaptor:HostEthIfProfileSMBClient,count,8
adaptor:HostEthIfProfileSMBClient,tcpSegment,enabled
adaptor:HostEthIfProfileSMBClient,queuePairs,256
adaptor:HostEthIfProfileSMBClient,name,SMBClient
adaptor:HostEthIfProfileSMBClient,descr,Recommended adapter settings for SMB Client
adaptor:HostEthIfProfileSMBClient,ringSize,512
adaptor:HostEthIfProfileSMBClient,resourceGroups,32
adaptor:HostEthIfProfileSMBClient,tcpRxChecksum,enabled
adaptor:HostEthIfProfileSMBClient,coalescingType,min
adaptor:HostEthIfProfileSMBClient,largeReceive,enabled
adaptor:HostEthIfProfileSMBClient,coalescingTime,125
adaptor:HostEthIfProfileSMBClient,adminState,enabled
adaptor:HostEthIfProfileSMBClient,mode,msi-x
adaptor:HostEthIfProfileSMBClient,timeout,5
adaptor:HostEthIfProfileSMBClient,memoryRegions,131072
adaptor:HostEthIfProfileSMBClient,receiveSideScaling,enabled
adaptor:HostEthIfProfileSMBClient,accelaratedRFS,disabled
adaptor:HostEthIfProfileSMBClient,tcpTxChecksum,enabled

bios:VfSelectMemoryRASConfiguration,vpSelectMemoryRASConfiguration,maximum-performance

bios:VfCoreMultiProcessing,vpCoreMultiProcessing,all

bios:VProfileusNIC,vpProcessorC6Report,disabled
bios:VProfileusNIC,vpIntelHyperThreadingTech,disabled
bios:VProfileusNIC,vpIntelTurboBoostTech,enabled
bios:VProfileusNIC,name,usNIC
bios:VProfileusNIC,descr,Recommended bios settings for usNIC vNICs
bios:VProfileusNIC,vpExecuteDisableBit,disabled
bios:VProfileusNIC,vpSelectMemoryRASConfiguration,maximum-performance
bios:VProfileusNIC,vpCoreMultiProcessing,all
bios:VProfileusNIC,vpDirectCacheAccess,enabled
bios:VProfileusNIC,vpLvDDRMode,performance-mode
bios:VProfileusNIC,vpProcessorC1E,disabled
bios:VProfileusNIC,vpMemoryMappedIOAbove4GB,disabled
bios:VProfileusNIC,vpIntelVTDCoherencySupport,enabled
bios:VProfileusNIC,vpIntelVTDATSSupport,enabled
bios:VProfileusNIC,vpIntelVTForDirectedIO,enabled
bios:VProfileusNIC,vpIntelVirtualizationTechnology,enabled
bios:VProfileusNIC,vpNUMAOptimized,enabled
bios:VProfileusNIC,vpEnhancedIntelSpeedStepTech,enabled

adaptor:FcFnicProfile,lunQueueDepth,20
adaptor:FcFnicProfile,ioRetryTimeout,5

domain:NetworkFeatureVNIC_PAIRING_FEATURE,type,major
domain:NetworkFeatureVNIC_PAIRING_FEATURE,name,VNIC_PAIRING_FEATURE
domain:NetworkFeatureVNIC_PAIRING_FEATURE,functionalState,enabled

bios:VfEnhancedIntelSpeedStepTech,vpEnhancedIntelSpeedStepTech,enabled

adaptor:EthAdvFilterProfile,adminState,disabled

adaptor:HostEthIfProfileusNICOracleRAC,count,1024
adaptor:HostEthIfProfileusNICOracleRAC,tcpSegment,enabled
adaptor:HostEthIfProfileusNICOracleRAC,queuePairs,256
adaptor:HostEthIfProfileusNICOracleRAC,name,usNICOracleRAC
adaptor:HostEthIfProfileusNICOracleRAC,descr,Recommended adapter settings for usNIC Oracle RAC Connection
adaptor:HostEthIfProfileusNICOracleRAC,ringSize,512
adaptor:HostEthIfProfileusNICOracleRAC,resourceGroups,32
adaptor:HostEthIfProfileusNICOracleRAC,tcpRxChecksum,enabled
adaptor:HostEthIfProfileusNICOracleRAC,coalescingType,min
adaptor:HostEthIfProfileusNICOracleRAC,largeReceive,enabled
adaptor:HostEthIfProfileusNICOracleRAC,coalescingTime,125
adaptor:HostEthIfProfileusNICOracleRAC,adminState,disabled
adaptor:HostEthIfProfileusNICOracleRAC,mode,msi-x
adaptor:HostEthIfProfileusNICOracleRAC,timeout,
adaptor:HostEthIfProfileusNICOracleRAC,memoryRegions,131072
adaptor:HostEthIfProfileusNICOracleRAC,receiveSideScaling,enabled
adaptor:HostEthIfProfileusNICOracleRAC,accelaratedRFS,disabled
adaptor:HostEthIfProfileusNICOracleRAC,tcpTxChecksum,enabled

bios:VfProcessorC1E,vpProcessorC1E,disabled

domain:NetworkFeatureUSNIC_VMQ_FEATURE,type,major
domain:NetworkFeatureUSNIC_VMQ_FEATURE,name,USNIC_VMQ_FEATURE
domain:NetworkFeatureUSNIC_VMQ_FEATURE,functionalState,enabled

adaptor:EthInterruptScalingProfile,adminState,disabled

domain:NetworkFeaturePVLAN_FEATURE,type,major
domain:NetworkFeaturePVLAN_FEATURE,name,PVLAN_FEATURE
domain:NetworkFeaturePVLAN_FEATURE,functionalState,enabled

domain:StorageFeatureSTORAGE_CONNECTION_FEATURE,type,major
domain:StorageFeatureSTORAGE_CONNECTION_FEATURE,name,STORAGE_CONNECTION_FEATURE
domain:StorageFeatureSTORAGE_CONNECTION_FEATURE,functionalState,enabled

bios:VfIntelTurboBoostTech,vpIntelTurboBoostTech,enabled

adaptor:HostEthIfProfileSMBServer,count,8
adaptor:HostEthIfProfileSMBServer,tcpSegment,enabled
adaptor:HostEthIfProfileSMBServer,queuePairs,2048
adaptor:HostEthIfProfileSMBServer,name,SMBServer
adaptor:HostEthIfProfileSMBServer,descr,Recommended adapter settings for SMB server
adaptor:HostEthIfProfileSMBServer,ringSize,512
adaptor:HostEthIfProfileSMBServer,resourceGroups,32
adaptor:HostEthIfProfileSMBServer,tcpRxChecksum,enabled
adaptor:HostEthIfProfileSMBServer,coalescingType,min
adaptor:HostEthIfProfileSMBServer,largeReceive,enabled
adaptor:HostEthIfProfileSMBServer,coalescingTime,125
adaptor:HostEthIfProfileSMBServer,adminState,enabled
adaptor:HostEthIfProfileSMBServer,mode,msi-x
adaptor:HostEthIfProfileSMBServer,timeout,5
adaptor:HostEthIfProfileSMBServer,memoryRegions,131072
adaptor:HostEthIfProfileSMBServer,receiveSideScaling,enabled
